id,user_id,admin_id,category,description,ip_address,browser,type,created_at,updated_at
982,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:30:44.000000Z,2022-08-03T15:30:44.000000Z
981,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:27:00.000000Z,2022-08-03T15:27:00.000000Z
980,90,,Logout,"User logout",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T15:26:58.000000Z,2022-08-03T15:26:58.000000Z
979,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:25:59.000000Z,2022-08-03T15:25:59.000000Z
978,90,,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T15:15:24.000000Z,2022-08-03T15:15:24.000000Z
977,101,,"Refund Request","Clinet has accepted your refund request.",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:46:11.000000Z,2022-08-03T13:46:11.000000Z
976,90,,"Refund Request","Client sent refund request",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:46:00.000000Z,2022-08-03T13:46:00.000000Z
975,90,,"Workstream Created","Client created workstream",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:44:24.000000Z,2022-08-03T13:44:24.000000Z
974,101,,"Add Proposal","Writer added a proposal on Aut nostrum consecte project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:44:10.000000Z,2022-08-03T13:44:10.000000Z
973,90,,"Project Posted","Client posted a new project Aut nostrum consecte project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:43:41.000000Z,2022-08-03T13:43:41.000000Z
972,90,,"Workstream Created","Client created workstream",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:27:24.000000Z,2022-08-03T13:27:24.000000Z
971,101,,"Add Proposal","Writer added a proposal on Veniam sed velit et project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:27:03.000000Z,2022-08-03T13:27:03.000000Z
970,90,,"Project Posted","Client posted a new project Veniam sed velit et project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T13:26:21.000000Z,2022-08-03T13:26:21.000000Z
969,90,,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T12:54:10.000000Z,2022-08-03T12:54:10.000000Z
968,90,,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T12:52:32.000000Z,2022-08-03T12:52:32.000000Z
967,101,,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T11:59:32.000000Z,2022-08-03T11:59:32.000000Z
966,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T11:05:47.000000Z,2022-08-03T11:05:47.000000Z
965,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T11:04:59.000000Z,2022-08-03T11:04:59.000000Z
964,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T11:04:50.000000Z,2022-08-03T11:04:50.000000Z
963,90,,Logout,"User logout",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-03T11:01:53.000000Z,2022-08-03T11:01:53.000000Z
962,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T10:00:18.000000Z,2022-08-03T10:00:18.000000Z
